INFO 2025-01-15 13:44:52,849 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-15 13:44:52,850 autoreload Waiting for apps ready_event.
DEBUG 2025-01-15 13:44:52,858 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-15 13:44:52,892 autoreload Watching dir /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-01-15 13:44:52,893 autoreload Watching dir /home/alfred/projets/BAcrypto/backend/locale with glob **/*.mo.
DEBUG 2025-01-15 13:44:52,893 autoreload Watching dir /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-01-15 13:44:52,893 autoreload Watching dir /home/alfred/projets/BAcrypto/backend/users/locale with glob **/*.mo.
DEBUG 2025-01-15 13:44:52,893 autoreload Watching dir /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-01-15 13:44:52,925 autoreload File /usr/lib/python3.12/glob.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,925 autoreload File /usr/lib/python3.12/html/parser.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,925 autoreload File /usr/lib/python3.12/threading.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,925 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/functions/window.py first seen with mtime 1736859859.2099032
DEBUG 2025-01-15 13:44:52,925 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/templatetags/i18n.py first seen with mtime 1736859859.2529035
DEBUG 2025-01-15 13:44:52,925 autoreload File /usr/lib/python3.12/email/mime/__init__.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,925 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/management/__init__.py first seen with mtime 1736859859.1589031
DEBUG 2025-01-15 13:44:52,925 autoreload File /usr/lib/python3.12/copy.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,925 autoreload File /usr/lib/python3.12/email/mime/multipart.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,925 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/urls/base.py first seen with mtime 1736859859.2619033
DEBUG 2025-01-15 13:44:52,925 autoreload File /usr/lib/python3.12/random.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,925 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/rest_framework/templatetags/__init__.py first seen with mtime 1736859914.0650253
DEBUG 2025-01-15 13:44:52,925 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/auth/models.py first seen with mtime 1736859858.618902
DEBUG 2025-01-15 13:44:52,925 autoreload File /usr/lib/python3.12/lib-dynload/_zoneinfo.cpython-312-x86_64-linux-gnu.so first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,925 autoreload File /usr/lib/python3.12/urllib/error.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,925 autoreload File /usr/lib/python3.12/token.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,925 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/apps/__init__.py first seen with mtime 1736859858.1249008
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/shutil.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/constants.py first seen with mtime 1736859859.1989033
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/auth/validators.py first seen with mtime 1736859858.619902
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/constraints.py first seen with mtime 1736859859.1989033
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/email/message.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/validators.py first seen with mtime 1736859859.143903
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/functions/datetime.py first seen with mtime 1736859859.2089033
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/utils/choices.py first seen with mtime 1736859859.2669034
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/gzip.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1736859857.8569002
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/__future__.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/lib-dynload/_lzma.cpython-312-x86_64-linux-gnu.so first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/socket.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/fields/proxy.py first seen with mtime 1736859859.2069032
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/serializers/json.py first seen with mtime 1736859859.1679032
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/functions/__init__.py first seen with mtime 1736859859.2089033
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/asyncio/sslproto.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/concurrent/__init__.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/sqlparse/formatter.py first seen with mtime 1736859857.8539002
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/linecache.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/template/autoreload.py first seen with mtime 1736859859.2419033
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/backends/base/features.py first seen with mtime 1736859859.1739032
DEBUG 2025-01-15 13:44:52,926 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/sql/__init__.py first seen with mtime 1736859859.2109032
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/asyncio/runners.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,926 autoreload File /usr/lib/python3.12/urllib/__init__.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/backend/backend/settings.py first seen with mtime 1736948524.7483788
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/backend/users/admin.py first seen with mtime 1736860008.7452385
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/templatetags/static.py first seen with mtime 1736859859.2539034
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/postgres/forms/hstore.py first seen with mtime 1736859858.9499028
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/paginator.py first seen with mtime 1736859859.143903
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/asgiref/local.py first seen with mtime 1736859857.9549005
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/utils/_os.py first seen with mtime 1736859859.2649033
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1736859859.140903
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/backends/sqlite3/__init__.py first seen with mtime 1736859859.1859033
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/auth/__init__.py first seen with mtime 1736859858.614902
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/checks/__init__.py first seen with mtime 1736859859.146903
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1736859859.188903
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/admin/templatetags/admin_modify.py first seen with mtime 1736859858.5329018
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1736859858.7589023
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/views/debug.py first seen with mtime 1736859859.2839034
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/backends/base/creation.py first seen with mtime 1736859859.172903
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/fields/json.py first seen with mtime 1736859859.2059033
DEBUG 2025-01-15 13:44:52,927 autoreload File /usr/lib/python3.12/asyncio/mixins.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/files/images.py first seen with mtime 1736859859.1519032
DEBUG 2025-01-15 13:44:52,927 autoreload File /usr/lib/python3.12/email/_parseaddr.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,927 autoreload File /usr/lib/python3.12/textwrap.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/dispatch/__init__.py first seen with mtime 1736859859.2139032
DEBUG 2025-01-15 13:44:52,927 autoreload File /usr/lib/python3.12/asyncio/staggered.py first seen with mtime 1730917939.0
